Trial,Word,Font Color,Response,reaction_time_ms,correct,congruent,participant
1,GREEN,BLUE,GREEN,1055,FALSE,FALSE,0ad3041a
2,GREEN,RED,RED,1067,TRUE,FALSE,0ad3041a
3,GREEN,RED,RED,1442,TRUE,FALSE,0ad3041a
4,YELLOW,GREEN,BLUE,1109,FALSE,FALSE,0ad3041a
5,YELLOW,RED,GREEN,1068,FALSE,FALSE,0ad3041a
6,GREEN,BLUE,GREEN,1298,FALSE,FALSE,0ad3041a
7,GREEN,GREEN,BLUE,1305,FALSE,TRUE,0ad3041a
8,GREEN,BLUE,GREEN,1005,FALSE,FALSE,0ad3041a
9,GREEN,RED,RED,1280,TRUE,FALSE,0ad3041a
10,YELLOW,YELLOW,YELLOW,1443,TRUE,TRUE,0ad3041a
11,RED,YELLOW,YELLOW,1770,TRUE,FALSE,0ad3041a
12,YELLOW,GREEN,BLUE,852,FALSE,FALSE,0ad3041a
13,YELLOW,BLUE,GREEN,992,FALSE,FALSE,0ad3041a
14,RED,YELLOW,YELLOW,1636,TRUE,FALSE,0ad3041a
15,BLUE,GREEN,BLUE,941,FALSE,FALSE,0ad3041a
16,BLUE,BLUE,GREEN,707,FALSE,TRUE,0ad3041a
17,YELLOW,GREEN,BLUE,1019,FALSE,FALSE,0ad3041a
18,YELLOW,RED,RED,972,TRUE,FALSE,0ad3041a
19,YELLOW,BLUE,GREEN,1234,FALSE,FALSE,0ad3041a
20,GREEN,RED,RED,1063,TRUE,FALSE,0ad3041a
21,BLUE,YELLOW,YELLOW,2420,TRUE,FALSE,0ad3041a
22,GREEN,GREEN,BLUE,1687,FALSE,TRUE,0ad3041a
23,GREEN,RED,RED,901,TRUE,FALSE,0ad3041a
24,BLUE,YELLOW,YELLOW,1616,TRUE,FALSE,0ad3041a
25,BLUE,GREEN,BLUE,904,FALSE,FALSE,0ad3041a
26,YELLOW,GREEN,BLUE,1246,FALSE,FALSE,0ad3041a
27,BLUE,YELLOW,YELLOW,995,TRUE,FALSE,0ad3041a
28,GREEN,GREEN,BLUE,708,FALSE,TRUE,0ad3041a
29,GREEN,GREEN,BLUE,561,FALSE,TRUE,0ad3041a
30,BLUE,BLUE,GREEN,2688,FALSE,TRUE,0ad3041a
31,GREEN,RED,RED,2604,TRUE,FALSE,0ad3041a
32,BLUE,RED,RED,905,TRUE,FALSE,0ad3041a
33,BLUE,BLUE,GREEN,609,FALSE,TRUE,0ad3041a
34,GREEN,RED,RED,933,TRUE,FALSE,0ad3041a
35,BLUE,RED,RED,1232,TRUE,FALSE,0ad3041a
36,YELLOW,BLUE,GREEN,992,FALSE,FALSE,0ad3041a
37,RED,GREEN,BLUE,1000,FALSE,FALSE,0ad3041a
38,YELLOW,YELLOW,YELLOW,642,TRUE,TRUE,0ad3041a
39,YELLOW,BLUE,GREEN,1060,FALSE,FALSE,0ad3041a
40,GREEN,RED,RED,774,TRUE,FALSE,0ad3041a
41,GREEN,GREEN,BLUE,680,FALSE,TRUE,0ad3041a
42,YELLOW,BLUE,YELLOW,786,FALSE,FALSE,0ad3041a
43,BLUE,YELLOW,YELLOW,1764,TRUE,FALSE,0ad3041a
44,RED,GREEN,BLUE,1952,FALSE,FALSE,0ad3041a
45,RED,YELLOW,YELLOW,908,TRUE,FALSE,0ad3041a
46,BLUE,BLUE,GREEN,1150,FALSE,TRUE,0ad3041a
47,YELLOW,BLUE,GREEN,1230,FALSE,FALSE,0ad3041a
48,RED,RED,RED,1706,TRUE,TRUE,0ad3041a
49,GREEN,RED,RED,1149,TRUE,FALSE,0ad3041a
50,YELLOW,BLUE,GREEN,1825,FALSE,FALSE,0ad3041a
1,RED,GREEN,GREEN,1808,TRUE,FALSE,3bee03c9
2,YELLOW,GREEN,GREEN,1456,TRUE,FALSE,3bee03c9
3,RED,YELLOW,YELLOW,1127,TRUE,FALSE,3bee03c9
4,YELLOW,YELLOW,YELLOW,1292,TRUE,TRUE,3bee03c9
5,YELLOW,GREEN,GREEN,1897,TRUE,FALSE,3bee03c9
6,RED,RED,RED,886,TRUE,TRUE,3bee03c9
7,GREEN,GREEN,GREEN,3358,TRUE,TRUE,3bee03c9
8,YELLOW,BLUE,BLUE,2333,TRUE,FALSE,3bee03c9
9,GREEN,RED,RED,1662,TRUE,FALSE,3bee03c9
10,BLUE,BLUE,BLUE,3388,TRUE,TRUE,3bee03c9
11,BLUE,YELLOW,YELLOW,716,TRUE,FALSE,3bee03c9
12,YELLOW,GREEN,GREEN,1912,TRUE,FALSE,3bee03c9
13,YELLOW,GREEN,GREEN,747,TRUE,FALSE,3bee03c9
14,BLUE,GREEN,GREEN,1034,TRUE,FALSE,3bee03c9
15,RED,GREEN,GREEN,1317,TRUE,FALSE,3bee03c9
16,BLUE,YELLOW,YELLOW,3730,TRUE,FALSE,3bee03c9
17,YELLOW,YELLOW,YELLOW,680,TRUE,TRUE,3bee03c9
18,RED,YELLOW,YELLOW,684,TRUE,FALSE,3bee03c9
19,BLUE,YELLOW,YELLOW,462,TRUE,FALSE,3bee03c9
20,RED,RED,RED,720,TRUE,TRUE,3bee03c9
21,BLUE,GREEN,GREEN,2497,TRUE,FALSE,3bee03c9
22,YELLOW,RED,RED,1522,TRUE,FALSE,3bee03c9
23,RED,YELLOW,YELLOW,617,TRUE,FALSE,3bee03c9
24,RED,YELLOW,YELLOW,2322,TRUE,FALSE,3bee03c9
25,BLUE,RED,RED,10184,TRUE,FALSE,3bee03c9
26,YELLOW,GREEN,GREEN,1611,TRUE,FALSE,3bee03c9
27,YELLOW,GREEN,GREEN,664,TRUE,FALSE,3bee03c9
28,GREEN,YELLOW,YELLOW,2120,TRUE,FALSE,3bee03c9
29,BLUE,GREEN,GREEN,1168,TRUE,FALSE,3bee03c9
30,RED,RED,RED,678,TRUE,TRUE,3bee03c9
31,RED,RED,RED,531,TRUE,TRUE,3bee03c9
32,BLUE,YELLOW,YELLOW,735,TRUE,FALSE,3bee03c9
33,RED,GREEN,GREEN,534,TRUE,FALSE,3bee03c9
34,RED,YELLOW,YELLOW,666,TRUE,FALSE,3bee03c9
35,BLUE,YELLOW,YELLOW,1651,TRUE,FALSE,3bee03c9
36,GREEN,GREEN,GREEN,1361,TRUE,TRUE,3bee03c9
37,YELLOW,RED,RED,839,TRUE,FALSE,3bee03c9
38,YELLOW,BLUE,BLUE,1373,TRUE,FALSE,3bee03c9
39,BLUE,YELLOW,YELLOW,668,TRUE,FALSE,3bee03c9
40,BLUE,BLUE,BLUE,881,TRUE,TRUE,3bee03c9
41,BLUE,BLUE,BLUE,561,TRUE,TRUE,3bee03c9
42,YELLOW,BLUE,BLUE,1676,TRUE,FALSE,3bee03c9
43,BLUE,RED,RED,1304,TRUE,FALSE,3bee03c9
44,YELLOW,BLUE,BLUE,1571,TRUE,FALSE,3bee03c9
45,RED,GREEN,GREEN,6027,TRUE,FALSE,3bee03c9
46,GREEN,YELLOW,YELLOW,1488,TRUE,FALSE,3bee03c9
47,BLUE,BLUE,RED,843,FALSE,TRUE,3bee03c9
48,BLUE,RED,RED,2014,TRUE,FALSE,3bee03c9
49,BLUE,YELLOW,YELLOW,1358,TRUE,FALSE,3bee03c9
50,RED,BLUE,BLUE,1558,TRUE,FALSE,3bee03c9
1,YELLOW,BLUE,GREEN,1538,FALSE,FALSE,8c223d35
2,RED,BLUE,BLUE,1217,TRUE,FALSE,8c223d35
3,GREEN,BLUE,BLUE,597,TRUE,FALSE,8c223d35
4,GREEN,GREEN,GREEN,808,TRUE,TRUE,8c223d35
5,GREEN,GREEN,GREEN,724,TRUE,TRUE,8c223d35
6,BLUE,RED,RED,1077,TRUE,FALSE,8c223d35
7,RED,GREEN,GREEN,1425,TRUE,FALSE,8c223d35
8,BLUE,BLUE,BLUE,699,TRUE,TRUE,8c223d35
9,BLUE,YELLOW,YELLOW,647,TRUE,FALSE,8c223d35
10,YELLOW,RED,RED,715,TRUE,FALSE,8c223d35
11,YELLOW,BLUE,BLUE,996,TRUE,FALSE,8c223d35
12,BLUE,BLUE,BLUE,686,TRUE,TRUE,8c223d35
13,RED,BLUE,BLUE,1365,TRUE,FALSE,8c223d35
14,YELLOW,BLUE,BLUE,1769,TRUE,FALSE,8c223d35
15,RED,RED,RED,870,TRUE,TRUE,8c223d35
16,GREEN,BLUE,BLUE,935,TRUE,FALSE,8c223d35
17,BLUE,RED,RED,994,TRUE,FALSE,8c223d35
18,GREEN,GREEN,GREEN,952,TRUE,TRUE,8c223d35
19,YELLOW,BLUE,BLUE,996,TRUE,FALSE,8c223d35
20,YELLOW,GREEN,GREEN,1135,TRUE,FALSE,8c223d35
21,GREEN,GREEN,GREEN,729,TRUE,TRUE,8c223d35
22,YELLOW,RED,RED,704,TRUE,FALSE,8c223d35
23,RED,BLUE,BLUE,995,TRUE,FALSE,8c223d35
24,GREEN,BLUE,BLUE,964,TRUE,FALSE,8c223d35
25,RED,YELLOW,YELLOW,774,TRUE,FALSE,8c223d35
26,YELLOW,BLUE,BLUE,1157,TRUE,FALSE,8c223d35
27,YELLOW,GREEN,GREEN,1184,TRUE,FALSE,8c223d35
28,RED,BLUE,BLUE,909,TRUE,FALSE,8c223d35
29,GREEN,YELLOW,YELLOW,705,TRUE,FALSE,8c223d35
30,BLUE,YELLOW,YELLOW,482,TRUE,FALSE,8c223d35
31,RED,YELLOW,YELLOW,442,TRUE,FALSE,8c223d35
32,BLUE,YELLOW,YELLOW,613,TRUE,FALSE,8c223d35
33,RED,GREEN,GREEN,785,TRUE,FALSE,8c223d35
34,GREEN,GREEN,GREEN,630,TRUE,TRUE,8c223d35
35,YELLOW,BLUE,BLUE,792,TRUE,FALSE,8c223d35
36,BLUE,BLUE,BLUE,691,TRUE,TRUE,8c223d35
37,YELLOW,YELLOW,YELLOW,757,TRUE,TRUE,8c223d35
38,GREEN,GREEN,GREEN,878,TRUE,TRUE,8c223d35
39,GREEN,RED,RED,671,TRUE,FALSE,8c223d35
40,RED,YELLOW,YELLOW,793,TRUE,FALSE,8c223d35
41,YELLOW,GREEN,GREEN,986,TRUE,FALSE,8c223d35
42,YELLOW,GREEN,GREEN,653,TRUE,FALSE,8c223d35
43,YELLOW,GREEN,GREEN,555,TRUE,FALSE,8c223d35
44,YELLOW,YELLOW,YELLOW,714,TRUE,TRUE,8c223d35
45,YELLOW,YELLOW,YELLOW,457,TRUE,TRUE,8c223d35
46,YELLOW,YELLOW,YELLOW,471,TRUE,TRUE,8c223d35
47,YELLOW,RED,RED,738,TRUE,FALSE,8c223d35
48,BLUE,YELLOW,YELLOW,859,TRUE,FALSE,8c223d35
49,BLUE,RED,RED,798,TRUE,FALSE,8c223d35
50,BLUE,GREEN,GREEN,924,TRUE,FALSE,8c223d35
1,BLUE,YELLOW,YELLOW,1568,TRUE,FALSE,b6f0c8bb
2,GREEN,RED,RED,740,TRUE,FALSE,b6f0c8bb
3,BLUE,RED,RED,549,TRUE,FALSE,b6f0c8bb
4,RED,GREEN,GREEN,2392,TRUE,FALSE,b6f0c8bb
5,RED,BLUE,BLUE,721,TRUE,FALSE,b6f0c8bb
6,YELLOW,BLUE,BLUE,523,TRUE,FALSE,b6f0c8bb
7,RED,YELLOW,YELLOW,580,TRUE,FALSE,b6f0c8bb
8,BLUE,YELLOW,YELLOW,784,TRUE,FALSE,b6f0c8bb
9,RED,YELLOW,YELLOW,340,TRUE,FALSE,b6f0c8bb
10,RED,RED,RED,611,TRUE,TRUE,b6f0c8bb
11,GREEN,BLUE,BLUE,1208,TRUE,FALSE,b6f0c8bb
12,BLUE,GREEN,GREEN,1450,TRUE,FALSE,b6f0c8bb
13,BLUE,YELLOW,YELLOW,655,TRUE,FALSE,b6f0c8bb
14,YELLOW,YELLOW,YELLOW,453,TRUE,TRUE,b6f0c8bb
15,RED,GREEN,GREEN,1670,TRUE,FALSE,b6f0c8bb
16,GREEN,GREEN,GREEN,476,TRUE,TRUE,b6f0c8bb
17,YELLOW,YELLOW,YELLOW,2063,TRUE,TRUE,b6f0c8bb
18,YELLOW,YELLOW,YELLOW,362,TRUE,TRUE,b6f0c8bb
19,BLUE,YELLOW,YELLOW,336,TRUE,FALSE,b6f0c8bb
20,RED,YELLOW,YELLOW,315,TRUE,FALSE,b6f0c8bb
21,BLUE,RED,RED,548,TRUE,FALSE,b6f0c8bb
22,RED,GREEN,GREEN,1262,TRUE,FALSE,b6f0c8bb
23,GREEN,RED,RED,535,TRUE,FALSE,b6f0c8bb
24,GREEN,RED,RED,467,TRUE,FALSE,b6f0c8bb
25,BLUE,RED,RED,303,TRUE,FALSE,b6f0c8bb
26,YELLOW,RED,RED,285,TRUE,FALSE,b6f0c8bb
27,YELLOW,GREEN,GREEN,1205,TRUE,FALSE,b6f0c8bb
28,GREEN,BLUE,BLUE,1103,TRUE,FALSE,b6f0c8bb
29,YELLOW,RED,RED,575,TRUE,FALSE,b6f0c8bb
30,BLUE,YELLOW,YELLOW,652,TRUE,FALSE,b6f0c8bb
31,YELLOW,YELLOW,YELLOW,361,TRUE,TRUE,b6f0c8bb
32,RED,BLUE,BLUE,809,TRUE,FALSE,b6f0c8bb
33,GREEN,GREEN,GREEN,588,TRUE,TRUE,b6f0c8bb
34,YELLOW,RED,RED,981,TRUE,FALSE,b6f0c8bb
35,YELLOW,RED,RED,322,TRUE,FALSE,b6f0c8bb
36,GREEN,YELLOW,YELLOW,2208,TRUE,FALSE,b6f0c8bb
37,GREEN,BLUE,BLUE,765,TRUE,FALSE,b6f0c8bb
38,YELLOW,RED,RED,870,TRUE,FALSE,b6f0c8bb
39,RED,BLUE,BLUE,876,TRUE,FALSE,b6f0c8bb
40,YELLOW,YELLOW,YELLOW,533,TRUE,TRUE,b6f0c8bb
41,RED,YELLOW,YELLOW,429,TRUE,FALSE,b6f0c8bb
42,BLUE,BLUE,BLUE,873,TRUE,TRUE,b6f0c8bb
43,RED,BLUE,BLUE,607,TRUE,FALSE,b6f0c8bb
44,YELLOW,YELLOW,YELLOW,447,TRUE,TRUE,b6f0c8bb
45,BLUE,GREEN,GREEN,1402,TRUE,FALSE,b6f0c8bb
46,YELLOW,YELLOW,YELLOW,695,TRUE,TRUE,b6f0c8bb
47,GREEN,BLUE,BLUE,1897,TRUE,FALSE,b6f0c8bb
48,BLUE,YELLOW,YELLOW,452,TRUE,FALSE,b6f0c8bb
49,YELLOW,BLUE,BLUE,2880,TRUE,FALSE,b6f0c8bb
50,GREEN,BLUE,BLUE,478,TRUE,FALSE,b6f0c8bb
1,RED,YELLOW,YELLOW,546,TRUE,FALSE,b9196f0c
2,GREEN,BLUE,BLUE,562,TRUE,FALSE,b9196f0c
3,YELLOW,GREEN,GREEN,595,TRUE,FALSE,b9196f0c
4,YELLOW,BLUE,BLUE,520,TRUE,FALSE,b9196f0c
5,YELLOW,YELLOW,YELLOW,415,TRUE,TRUE,b9196f0c
6,YELLOW,BLUE,BLUE,513,TRUE,FALSE,b9196f0c
7,YELLOW,RED,RED,510,TRUE,FALSE,b9196f0c
8,YELLOW,YELLOW,YELLOW,500,TRUE,TRUE,b9196f0c
9,GREEN,BLUE,BLUE,634,TRUE,FALSE,b9196f0c
10,GREEN,RED,RED,506,TRUE,FALSE,b9196f0c
11,GREEN,RED,RED,399,TRUE,FALSE,b9196f0c
12,RED,YELLOW,BLUE,612,FALSE,FALSE,b9196f0c
13,GREEN,YELLOW,YELLOW,484,TRUE,FALSE,b9196f0c
14,BLUE,YELLOW,YELLOW,505,TRUE,FALSE,b9196f0c
15,GREEN,GREEN,GREEN,485,TRUE,TRUE,b9196f0c
16,BLUE,RED,RED,472,TRUE,FALSE,b9196f0c
17,YELLOW,RED,RED,333,TRUE,FALSE,b9196f0c
18,GREEN,BLUE,YELLOW,589,FALSE,FALSE,b9196f0c
19,BLUE,GREEN,GREEN,763,TRUE,FALSE,b9196f0c
20,BLUE,BLUE,BLUE,534,TRUE,TRUE,b9196f0c
21,RED,GREEN,GREEN,643,TRUE,FALSE,b9196f0c
22,RED,YELLOW,YELLOW,507,TRUE,FALSE,b9196f0c
23,BLUE,GREEN,GREEN,621,TRUE,FALSE,b9196f0c
24,YELLOW,BLUE,BLUE,651,TRUE,FALSE,b9196f0c
25,YELLOW,RED,RED,563,TRUE,FALSE,b9196f0c
26,RED,BLUE,BLUE,1134,TRUE,FALSE,b9196f0c
27,BLUE,BLUE,BLUE,460,TRUE,TRUE,b9196f0c
28,RED,RED,RED,470,TRUE,TRUE,b9196f0c
29,GREEN,RED,RED,475,TRUE,FALSE,b9196f0c
30,BLUE,RED,RED,346,TRUE,FALSE,b9196f0c
31,GREEN,BLUE,BLUE,540,TRUE,FALSE,b9196f0c
32,YELLOW,RED,RED,557,TRUE,FALSE,b9196f0c
33,BLUE,GREEN,GREEN,603,TRUE,FALSE,b9196f0c
34,BLUE,RED,RED,527,TRUE,FALSE,b9196f0c
35,RED,GREEN,BLUE,522,FALSE,FALSE,b9196f0c
36,BLUE,YELLOW,YELLOW,523,TRUE,FALSE,b9196f0c
37,BLUE,BLUE,BLUE,917,TRUE,TRUE,b9196f0c
38,GREEN,BLUE,BLUE,332,TRUE,FALSE,b9196f0c
39,RED,RED,RED,502,TRUE,TRUE,b9196f0c
40,YELLOW,GREEN,GREEN,561,TRUE,FALSE,b9196f0c
41,YELLOW,BLUE,BLUE,647,TRUE,FALSE,b9196f0c
42,BLUE,YELLOW,YELLOW,349,TRUE,FALSE,b9196f0c
